,Country,GDP(USD),Code
0,France,2923489,FRA
1,Germany,4308854,DEU
2,Italy,2169745,ITA
3,Spain,1492432,ESP
4,United Kingdom,3158938,GBR
5,Austria,506601,AUT
6,Belgium,624248,BEL
7,Denmark,405626,DNK
8,Finland,301670,FIN
9,Ireland,594095,IRL
10,Netherlands,1080880,NLD
11,Norway,554105,NOR
12,Portugal,267721,PRT
13,Sweden,599052,SWE
14,Switzerland,869601,CHE
15,Bulgaria,100635,BGR
16,Croatia,78881,HRV
17,Czech Republic,330483,CZE
18,Hungary,188505,HUN
19,Poland,748887,POL
20,Romania,348902,ROU
21,Slovakia,127533,SVK
22,Slovenia,68108,SVN
23,Morocco,118434,MAR
24,Russia,2062649,RUS
25,Saudi Arabia,1061902,SAU
26,South Africa,399015,ZAF
27,Tunisia,49815,TUN
28,Turkey,1029303,TUR
29,United Arab Emirates,498978,ARE
30,Canada,2089674,CAN
31,United States,26854600,USA
32,Brazil,2081235,BRA
33,Argentina,641102,ARG
34,Chile,358557,CHL
35,Colombia,334689,COL
36,Mexico,1663164,MEX
37,China,19373586,CHN
38,Hong Kong,382854,HKG
39,Taiwan,790728,TWN
40,Australia,1707548,AUS
41,New Zealand,251969,NZL
42,India,3736882,IND
43,Japan,4409738,JPN
44,Indonesia,1391778,IDN
45,"Korea, South",1721909,KOR
46,Malaysia,447026,MYS
47,Philippines,440901,PHL
48,Singapore,515548,SGP
49,Thailand,574231,THA
50,Vietnam,449094,VNM
