,Country,Number of outlets,Practicing Eye Exams,Not practicing Eye Exams,Practicing Eye Exams.1,Not practicing Eye Exams.1,Code
0,France,12900.0,0.0,100.0,0.0,12900.0,FRA
1,Germany,11280.0,99.5,0.5000000000000004,11223.6,56.400000000000055,DEU
2,Italy,10500.0,90.0,9.999999999999998,9450.0,1049.9999999999998,ITA
3,Spain,10339.0,100.0,0.0,10339.0,0.0,ESP
4,United Kingdom,6276.0,98.5,1.5000000000000013,6181.86,94.14000000000009,GBR
5,Austria,1170.0,100.0,0.0,1170.0,0.0,AUT
6,Belgium,1908.0,36.0,64.0,686.88,1221.12,BEL
7,Denmark,720.0,100.0,0.0,720.0,0.0,DNK
8,Finland,716.0,100.0,0.0,716.0,0.0,FIN
9,Ireland,450.0,98.5,1.5000000000000013,443.25,6.750000000000005,IRL
10,Netherlands,2281.0,95.0,5.000000000000004,2166.95,114.05000000000011,NLD
11,Norway,700.0,98.0,2.0000000000000018,686.0,14.00000000000001,NOR
12,Portugal,2680.0,60.0,40.0,1608.0,1072.0,PRT
13,Sweden,953.0,99.5,0.5000000000000004,948.235,4.765000000000004,SWE
14,Switzerland,1205.0,90.0,9.999999999999998,1084.5,120.49999999999999,CHE
15,Bulgaria,1220.0,60.0,40.0,732.0,488.0,BGR
16,Croatia,620.0,85.0,15.000000000000002,527.0,93.00000000000001,HRV
17,Czech Republic,1560.0,45.0,55.00000000000001,702.0,858.0000000000001,CZE
18,Hungary,1100.0,90.0,9.999999999999998,990.0,109.99999999999999,HUN
19,Poland,5050.0,75.0,25.0,3787.5,1262.5,POL
20,Romania,1970.0,86.0,14.000000000000002,1694.2,275.8,ROU
21,Slovakia,608.0,64.0,36.0,389.12,218.88,SVK
22,Slovenia,325.0,85.0,15.000000000000002,276.25,48.75000000000001,SVN
23,Morocco,4300.0,50.0,50.0,2150.0,2150.0,MAR
24,Russia,8295.0,0.0,100.0,0.0,8295.0,RUS
25,Saudi Arabia,2400.0,70.0,30.000000000000004,1680.0,720.0000000000001,SAU
26,South Africa,3615.0,100.0,0.0,3615.0,0.0,ZAF
27,Tunisia,1262.5,0.0,100.0,0.0,1262.5,TUN
28,Turkey,7500.0,0.0,100.0,0.0,7500.0,TUR
29,United Arab Emirates,1390.0,93.0,6.999999999999995,1292.7,97.29999999999993,ARE
30,Canada,5217.3,85.0,15.000000000000002,4434.705,782.5950000000001,CAN
31,United States,48434.0,100.0,0.0,48434.0,0.0,USA
32,Brazil,32647.0,0.0,100.0,0.0,32647.0,BRA
33,Argentina,4800.0,0.0,100.0,0.0,4800.0,ARG
34,Chile,3500.0,40.0,60.0,1400.0,2100.0,CHL
35,Colombia,5400.0,83.0,17.000000000000004,4482.0,918.0000000000001,COL
36,Mexico,12550.0,100.0,0.0,12550.0,0.0,MEX
37,China,81500.0,98.0,2.0000000000000018,79870.0,1630.0000000000014,CHN
38,Hong Kong,1149.0,100.0,0.0,1149.0,0.0,HKG
39,Taiwan,4604.0,100.0,0.0,4604.0,0.0,TWN
40,Australia,2970.0,98.0,2.0000000000000018,2910.6,59.400000000000055,AUS
41,New Zealand,365.0,99.0,1.0000000000000009,361.35,3.6500000000000035,NZL
42,India,47000.0,100.0,0.0,47000.0,0.0,IND
43,Japan,11425.0,96.7,3.300000000000003,11047.975,377.0250000000004,JPN
44,Indonesia,7350.0,100.0,0.0,7350.0,0.0,IDN
45,"Korea, South",9200.0,100.0,0.0,9200.0,0.0,KOR
46,Malaysia,4750.0,100.0,0.0,4750.0,0.0,MYS
47,Philippines,3600.0,100.0,0.0,3600.0,0.0,PHL
