,Country,Myopia_per,Hyperopia_per,Astigmatism_per,Presbyopia_per,Myopia(x000),Hyperopia(x000),Astigmatism(x000),Presbyopia(x000),Code
0,France,29.5,17,22,48.4,20023.78374,11539.12961,14932.99126,32852.58077,FRA
1,Germany,20.5,7,20,48,17020.86608,5812.00305,16605.723,39853.7352,DEU
2,Italy,27,11,20,41,15908.07222,6481.06646,11783.7572,24156.70226,ITA
3,Spain,38.8,13.6,37.2,23.2,18983.288,6653.936,18200.472,11350.832,ESP
4,United Kingdom,26.2,20.7,29.90548893,27,17696.68048,13981.72847,20199.53749,18237.03714,GBR
5,Austria,36,22,39,45,3229.55244,1973.61538,3498.68181,4036.94055,AUT
6,Belgium,7.5,0,42,51,871.59405,0,4880.92668,5926.83954,BEL
7,Denmark,26.2,20.7,29.90548893,27,1541.19797,1217.664045,1759.170948,1588.25745,DNK
8,Finland,51,47.19976794,36,54.17514582,2827.5165,2616.825934,1995.894,3003.551347,FIN
9,Ireland,26.2,20.7,29.90548893,27,1327.75705,1049.029425,1515.542892,1368.29925,IRL
10,Netherlands,4,2.1,15,40,703.25824,369.210576,2637.2184,7032.5824,NLD
11,Norway,26,35.1933971,32,25,1416.34506,1917.15362,1743.19392,1361.87025,NOR
12,Portugal,25,7,23,42,2574.73125,720.92475,2368.75275,4325.5485,PRT
13,Sweden,30,33.5,31.5,25,3142.5459,3509.176255,3299.673195,2618.78825,SWE
14,Switzerland,53,26.5,26.8,45.2,4641.41564,2320.70782,2346.979984,3958.339376,CHE
15,Bulgaria,26,30,30,47,1676.4046,1934.313,1934.313,3030.4237,BGR
16,Croatia,31.5,21,26,47,1221.394545,814.26303,1008.13518,1822.39821,HRV
17,Czech Republic,35,30,28,35,3675.0728,3150.0624,2940.05824,3675.0728,CZE
18,Hungary,38,23,60,40,3681.82,2228.47,5813.4,3875.6,HUN
19,Poland,24.5,14.5,14.5,46,9252.7435,5476.1135,5476.1135,17372.498,POL
20,Romania,25.5,13.5,8.2,52.85,5079.148395,2688.960915,1633.294778,10526.78403,ROU
21,Slovakia,35,31,31,60,2049.7708,1815.51128,1815.51128,3513.8928,SVK
22,Slovenia,31.5,21,26,47,663.895575,442.59705,547.9773,990.57435,SVN
23,Morocco,14,17,6,11,5244.11664,6367.85592,2247.47856,4120.37736,MAR
24,Russia,24,17,54,34,34426.34208,24385.32564,77459.26968,48770.65128,RUS
25,Saudi Arabia,50,22,60,20,18204.407,8009.93908,21845.2884,7281.7628,SAU
26,South Africa,28,37.7,25.7,25,16969.12,22847.708,15575.228,15151,ZAF
27,Tunisia,30,20,30,30,3706.8357,2471.2238,3706.8357,3706.8357,TUN
28,Turkey,31,21,23.3,30.7,26455.7844,17921.6604,19884.50892,26199.76068,TUR
29,United Arab Emirates,23.2,20.5,4.5,10.2,2190.342624,1935.43206,424.85094,962.995464,ARE
30,Canada,30.2,9.95,29.85,44.8,11645.56424,3836.866365,11510.59909,17275.53901,CAN
31,United States,30,10,30,30,99986.2671,33328.7557,99986.2671,99986.2671,USA
32,Brazil,24.45759369,7.181270346,9.477521264,28.95843555,52660.50099,15462.24453,20406.38275,62351.42112,BRA
33,Argentina,20,11,14,29,9210.0226,5065.51243,6447.01582,13354.53277,ARG
34,Chile,26.5,30.9,40.4,2.2,5194.98951,6057.553806,7919.908536,431.282148,CHL
35,Colombia,29.3,18,32,27.2,15199.08845,9337.32396,16599.68704,14109.73398,COL
36,Mexico,26,21,14,23,33151.07146,26775.86541,17850.57694,29325.94783,MEX
37,China,47.3,3,30,33,667757.75,42352.5,423525,465877.5,CHN
38,Hong Kong,59.8,23.3,37.8,53.1,4385.2536,1708.6356,2771.9496,3893.9292,HKG
39,Taiwan,81.2856099,3.580100401,67,57.12514249,18910.80452,832.89747,15587.3088,13289.95875,TWN
40,Australia,33,25.5,15,40,8560.72734,6615.10749,3891.2397,10376.6392,AUS
41,New Zealand,33,25.5,15,40,1703.87052,1316.62722,774.4866,2065.2976,NZL
42,India,17.1,5.3,3.4,27,242336.6134,75110.17843,48183.88805,382636.7581,IND
43,Japan,61.6,11,41,48.3,76895.28,13731.3,51180.3,60292.89,JPN
44,Indonesia,36,5,18,15,99180.48564,13775.06745,49590.24282,41325.20235,IDN
45,"Korea, South",42,10,25,47,21709.5039,5168.9295,12922.32375,24293.96865,KOR
46,Malaysia,70,5,50,25,23756.7554,1696.9111,16969.111,8484.5555,MYS
47,Philippines,27,21,26,26,31200.9327,24267.3921,30045.3426,30045.3426,PHL
48,Singapore,70,4,50,55,2851.2673,162.92956,2036.6195,2240.28145,SGP
49,Thailand,30.1,4.5,16,31,21580.80483,3226.36617,11471.52416,22226.07806,THA
