,Country,GLASS,1.5,TRIVEX,1.56,POLY,1.6,1.67,> 1.67,TOT PLASTIC,TOT LENS,Code
0,France,198.1373488,35021.74381,3.190224439,3.190224439,4392.404671,13038.89966,3608.654323,689.7707382,56757.85365,56955.991,FRA
1,Germany,1984,17170,76,36,296,12723,2560,1555,34416,36400,DEU
2,Italy,108,11609,134,476,415,4507,1276,325,18742,18850,ITA
3,Spain,122.4782104,8985.000546,94.98825505,281.2014199,72.65109148,5372.151257,1136.053074,235.4761459,16177.52179,16300,ESP
4,United Kingdom,40.221779,29522.78579,140.7762265,221.2197845,1006.544475,6355.041082,1957.459911,978.7299557,40182.55722,40222.779,GBR
5,Austria,117,1671,14,51,60,1163,356,65.05,3380.05,3497.05,AUT
6,Belgium,72.33251825,1748.035858,48.22167883,160.7389294,140.29675,1527.01983,214.3185726,107.1592863,3945.790905,4018.123423,BEL
7,Denmark,17.77891181,1057.845253,24.44600374,6.667091929,20.00127579,920.0586862,117.0445028,58.52225138,2204.585064,2222.363976,DNK
8,Finland,13.81881132,1243.693019,30.40138491,8.291286793,22.21009811,1199.472823,163.9832277,81.99161384,2750.043453,2763.862264,FIN
9,Ireland,3.642240455,1122.460457,0.415656621,28.71055435,128.0312323,115.7970131,94.34742441,38.73139865,1528.493737,1532.135977,IRL
10,Netherlands,163.274063,3902.250105,0,32.65481259,24.57210945,3363.445697,451.7249076,225.8624538,8000.510086,8163.784149,NLD
11,Norway,10.51340928,946.2068352,23.12950042,6.308045568,16.82145485,912.5639255,124.7591235,62.37956173,2092.168447,2102.681856,NOR
12,Portugal,114,2395,26,70,313,983,169,110,4066,4180,PRT
13,Sweden,32.65491978,2197.209602,51.31487393,60.64485101,37.31990831,1898.650335,258.1293658,129.0646829,4632.33362,4664.988539,SWE
14,Switzerland,73,1132,4,2,24,1435,435,60,3092,3165,CHE
16,Bulgaria,0,1319,5,51,42,415,84,9,1925,1925,BGR
17,Croatia,52,1013,8,62,38,196,45,6,1368,1420,HRV
18,Czech Republic,4.996743583,2131.251364,136.7219746,148.6752536,344.0623061,881.4324589,106.5059417,15.07163745,3763.720936,3768.71768,CZE
19,Hungary,4.2,2030,90.3,7,115.5,300.5,122,36,2701.3,2705.5,HUN
20,Poland,202,8270.728511,52.48,306.201,77.436,1696.359,302.833,62.168,10768.20551,10970.20551,POL
21,Romania,1114,3844,108,438,149,277,52,18,4886,6000,ROU
22,Slovakia,0,1048.657451,105.0893394,51.42669801,88.31976398,270.5491504,121.8589149,34.65712257,1720.55844,1720.55844,SVK
23,Slovenia,43,474,20,88,43,155,83,14,877,920,SVN
25,Morocco,953.5868193,3132.064303,0,1678.51517,37.16438422,370,46.7843782,10.41593704,5274.944173,6228.530992,MAR
26,Russia,217.7511228,10621.89563,6.056405286,3786.72338,175.8436824,3671.689516,495.3274323,24.34812745,18781.88417,18999.63529,RUS
27,Saudi Arabia,2,2370,37,4050,552,380,475,34,7898,7900,SAU
28,South Africa,0,2412.2,0,898,99,92,32,1,3534.2,3534.2,ZAF
29,Tunisia,43.03706764,901.6111507,0.922904493,2051.902204,34.40905368,211.436413,95.56101241,16.83024136,3312.67298,3355.710048,TUN
30,Turkey,38.68130812,11472.55145,22.83266062,15138.34615,40.86129359,1746.642638,927.2581604,97.80625483,29446.29861,29484.97992,TUR
31,United Arab Emirates,1,840,29,677,123,188,124.09,17,1998.09,1999.09,ARE
34,Canada,13.59415361,6166.022314,40.80499377,162.4635921,4029.140045,3301.630184,2285.737665,231.3819483,16217.18074,16230.7749,CAN
35,United States,339.220198,49348.99893,4111.484393,112.8037127,115749.3379,12482.89563,15290.40312,3324.856131,200420.7798,200760,USA
36,Brazil,2.15138144,45891.50518,111.2103038,24552.52865,14881.25047,409.9999091,1631.382028,888.4819196,88366.35845,88368.50983,BRA
37,Argentina,336.3911654,14477,5,783,677,13,10,0,15965,16301.39117,ARG
38,Chile,156.0616733,625.8796347,0,716.3030681,2756.274044,0,348.5683364,325.8453255,4772.870409,4928.932082,CHL
39,Colombia,0,3740.928005,138.3959203,1299.873181,7918.184165,635.2775934,142.8345846,34.28374988,13909.7772,13909.7772,COL
40,Mexico,0,8707.000667,0,6388.024402,21735.585,0,2687.695167,0,39518.30523,39518.30523,MEX
42,China,21.29487,1807.851,0.59413,164472.06,6336.259,120631.441,34971.64,2758.86,330978.7051,331000,CHN
43,Hong Kong,8.95,360.955,3.158,470.2,148.49,1051.56,365.45,104.144,2503.957,2512.907,HKG
44,Taiwan,9.072759463,247.28477,8.285041502,4519.163892,35.88850895,1466.401806,707.8050359,94.39405585,7079.22311,7088.29587,TWN
45,Australia,1.71504,12603.93554,12.75947471,395.31672,1560.046682,1553.784543,738.0699529,284.652905,17148.56582,17150.28086,AUS
46,New Zealand,0,967.9780044,4.615426458,16.7693828,297.9026998,286.6333678,104.0163276,19.38479112,1697.3,1697.3,NZL
47,India,22239.59941,38194.6858,155.6028107,113527.8871,7201.594379,5734.745532,2238.2251,221.2144158,167273.9552,189513.5546,IND
48,Japan,366,637,70,3502,8,25858,9986,3392,43453,43819,JPN
49,Indonesia,0,11388,0,10950,695,1755,205,7,25000,25000,IDN
50,"Korea, South",0,842,0,7457,1.67,13710,3212.5,2123,27346.17,27346.17,KOR
51,Malaysia,12.4,3246.5,43,5495,307,1150.2,468.2,55,10764.9,10777.3,MYS
52,Philippines,0,4324.01,34,163,523,155.2,80.2,77.2,5356.61,5356.61,PHL
53,Singapore,1.2,241.3333333,0,639.0729167,109.375,1030.970833,343.7145833,71.61875,2436.085417,2437.285417,SGP
54,Thailand,0,2647.855603,11.34614293,2165.626741,147.7880365,1318.898961,437.908165,60.98285044,6790.4065,6790.4065,THA
55,Vietnam,0,2425.407531,71.01316368,13227.50478,545.8351528,3499.257591,764.643047,67.7787376,20601.44,20601.44,VNM
