,Country,SV_price_High,SV_price_Mid,SV_price_Low,PAL_price_High,PAL_price_Mid,PAL_price_Low,Code
0,France,20,10,5,70,50,35,FRA
1,Germany,15,5,3,90,70,30,DEU
2,Italy,12,7,4,63,41,32,ITA
3,Spain,21.5,10.75,5.375,64.5,36.55,22.575,ESP
4,United Kingdom,11.72661706,5.863308529,1.172661706,70.35970234,35.17985117,17.58992559,GBR
5,Austria,39,13,6,90,70,45,AUT
6,Belgium,50,25,12,90,80,30,BEL
7,Denmark,18.01180773,11.82864985,6.048741402,56.99258565,30.24370701,19.22155601,DNK
8,Finland,25,15,10,50,35,20,FIN
9,Ireland,15,10,3.5,50,35,15,IRL
10,Netherlands,25,13,5,110,60,15,NLD
11,Norway,18.01515401,13.46187332,5.741093035,52.46171221,25.93390302,18.31210709,NOR
12,Portugal,32.81,15.31,6.56,64.68,43.12,21.56,PRT
13,Sweden,14.95826489,9.501790907,4.421625471,30.9513783,24.74228721,14.95826489,SWE
14,Switzerland,29.85938206,14.92969103,4.976563677,129.3906556,84.60158251,34.83594574,CHE
15,Bulgaria,48.04172206,25.40137028,8.12966561,80.81092136,63.95848246,39.01216893,BGR
16,Croatia,23.49077369,13.53705603,5.839514364,64.10194177,39.81487066,29.72843676,HRV
17,Czech Republic,24.42407029,16.28271352,8.141356762,77.34288924,59.30978401,35.6998494,CZE
18,Hungary,14.05619814,7.667017168,5.111344779,76.67017168,63.89180974,51.11344779,HUN
19,Poland,16.0047575,10.02964803,4.267935334,76.82283601,51.21522401,26.67459584,POL
20,Romania,57.59115456,27.17329124,10.9504308,54.75215399,39.54322232,16.72982483,ROU
21,Slovakia,9,5,2,80,40,20,SVK
22,Slovenia,24.5,15.3,6.2,67,42,31.6,SVN
23,Morocco,5.149443142,2.996039646,1.404393584,46.81311947,30.89665885,14.04393584,MAR
24,Russia,22.03708628,8.437133525,4.456328174,54.12808368,39.03363062,20.8958315,RUS
25,Saudi Arabia,17.70357064,6.322703798,1.26454076,106.2214238,47.29382441,9.863417925,SAU
26,South Africa,18.59532195,6.392141921,2.614967149,55.78596585,36.02843628,20.9197372,ZAF
27,Tunisia,23.14312062,10.80012296,3.943648997,55.54348948,37.02899299,17.89734661,TUN
28,Turkey,8.616334666,4.191961817,1.493498009,22.97689244,4.308167333,0.574422311,TUR
29,United Arab Emirates,16.26245669,8.673310234,3.252491338,77.56089674,25.85363225,19.39022418,ARE
30,Canada,16.06436201,10.95297409,8.032181003,64.9876463,37.24011192,20.44555164,CAN
31,United States,35.61089074,23.74059383,11.87029691,64.57441521,42.73306889,21.84134632,USA
32,Brazil,11.58108696,5.514803313,4.044189096,32.72607907,21.66613544,10.52795171,BRA
33,Argentina,37.4124376,14.02610779,6.543620265,70.0309621,55.23669019,11.83541752,ARG
34,Chile,0,0,0,0,0,0,CHL
35,Colombia,17.90362342,12.98012698,6.042472904,51.92050791,39.8355621,24.16989161,COL
36,Mexico,20.81479079,15.61109309,10.40739539,26.01848848,16.91201751,8.846286084,MEX
37,China,9.041079912,5.650674945,2.260269978,35.31671841,14.9742886,4.944340577,CHN
38,Hong Kong,60.64208119,24.25683247,9.70273299,121.2841624,64.28060606,27.89535735,HKG
39,Taiwan,9.578936361,4.789468181,1.596489394,38.31574544,25.5438303,12.77191515,TWN
40,Australia,32.96648604,19.77989162,6.593297208,79.11956649,48.79039934,16.48324302,AUS
41,New Zealand,36.18277794,18.09138897,9.045694484,66.33509288,48.24370392,30.15231495,NZL
42,India,3.628166811,2.418777874,1.209388937,14.51266725,9.675111497,4.837555749,IND
43,Japan,11.59190191,6.158197888,3.477570572,39.8471628,21.73481607,11.22965497,JPN
44,Indonesia,7.999871424,3.519943427,0.959984571,38.39938284,25.59958856,8.959855995,IDN
45,"Korea, South",8.089401084,3.848834832,2.511646377,44.06021233,29.2399524,15.00508058,KOR
46,Malaysia,17.28658031,9.723701423,3.241233808,90.75454662,64.82467616,25.92987046,MYS
47,Philippines,15.70302184,8.723901024,2.617170307,43.61950512,26.17170307,8.723901024,PHL
